i,j,feature_i,feature_j,pearson_r,abs_r
250,252,250,252,-0.9644393159963249,0.9644393159963249
250,253,250,253,-0.7765134496364787,0.7765134496364787
250,256,250,256,0.94513466058947,0.94513466058947
250,257,250,257,0.7686569437765408,0.7686569437765408
250,260,250,260,0.959809130451902,0.959809130451902
250,261,250,261,0.774707454533197,0.774707454533197
250,262,250,262,0.8189710345452751,0.8189710345452751
250,276,250,276,0.8317281507711553,0.8317281507711553
250,283,250,283,0.6207200526480063,0.6207200526480063
250,284,250,284,0.6994255727894996,0.6994255727894996
250,285,250,285,0.6763006967022446,0.6763006967022446
250,286,250,286,0.6653075250557468,0.6653075250557468
250,287,250,287,0.6828284858204564,0.6828284858204564
250,288,250,288,0.7659407369818358,0.7659407369818358
250,289,250,289,0.6149957466716033,0.6149957466716033
250,290,250,290,0.6787886745993407,0.6787886745993407
250,294,250,294,0.778634001651315,0.778634001651315
250,295,250,295,0.7748875013446658,0.7748875013446658
251,252,251,252,-0.8292355208152049,0.8292355208152049
251,253,251,253,-0.9149277943009752,0.9149277943009752
251,256,251,256,0.8122727503830953,0.8122727503830953
251,257,251,257,0.904354224471869,0.904354224471869
251,260,251,260,0.8255519761163052,0.8255519761163052
251,261,251,261,0.9127910681258415,0.9127910681258415
251,262,251,262,0.8856250742885677,0.8856250742885677
251,276,251,276,0.8998264155964061,0.8998264155964061
251,283,251,283,0.6693987923919088,0.6693987923919088
251,284,251,284,0.7552755107532061,0.7552755107532061
251,285,251,285,0.7298365849961712,0.7298365849961712
251,286,251,286,0.7180969478000677,0.7180969478000677
251,287,251,287,0.7374904085625988,0.7374904085625988
251,288,251,288,0.8293229694797525,0.8293229694797525
251,289,251,289,0.6633712701777579,0.6633712701777579
251,290,251,290,0.7334777060124965,0.7334777060124965
251,294,251,294,0.8425780310358729,0.8425780310358729
251,295,251,295,0.8384427359194577,0.8384427359194577
252,253,252,253,0.7340844862077378,0.7340844862077378
252,256,252,256,-0.9799835457901166,0.9799835457901166
252,257,252,257,-0.7274735537521514,0.7274735537521514
252,260,252,260,-0.9951990908420822,0.9951990908420822
252,261,252,261,-0.7323857545574642,0.7323857545574642
252,262,252,262,-0.7409332573092394,0.7409332573092394
252,276,252,276,-0.7524544291048252,0.7524544291048252
252,284,252,284,-0.6433985932570271,0.6433985932570271
252,285,252,285,-0.6241691747419584,0.6241691747419584
252,286,252,286,-0.6149751653695974,0.6149751653695974
252,287,252,287,-0.6290106245490446,0.6290106245490446
252,288,252,288,-0.6975481582019089,0.6975481582019089
252,290,252,290,-0.6270848078009306,0.6270848078009306
252,294,252,294,-0.7050309709531,0.7050309709531
252,295,252,295,-0.7016109755293193,0.7016109755293193
253,256,253,256,-0.7181157228593791,0.7181157228593791
253,257,253,257,-0.9884432739993538,0.9884432739993538
253,260,253,260,-0.7310326997670191,0.7310326997670191
253,261,253,261,-0.9976645958419387,0.9976645958419387
253,262,253,262,-0.7707065123901492,0.7707065123901492
253,276,253,276,-0.783276942941847,0.783276942941847
253,283,253,283,-0.6082980314267954,0.6082980314267954
253,284,253,284,-0.6772267975108639,0.6772267975108639
253,285,253,285,-0.6581660459731802,0.6581660459731802
253,286,253,286,-0.6495829265683339,0.6495829265683339
253,287,253,287,-0.6631492261436418,0.6631492261436418
253,288,253,288,-0.7313842195918276,0.7313842195918276
253,289,253,289,-0.605017073868619,0.605017073868619
253,290,253,290,-0.6635261716111208,0.6635261716111208
253,294,253,294,-0.7345397396790146,0.7345397396790146
253,295,253,295,-0.7306204976957483,0.7306204976957483
256,257,256,257,0.719429723388904,0.719429723388904
256,260,256,260,0.9750459026749619,0.9750459026749619
256,261,256,261,0.7164098050545541,0.7164098050545541
256,262,256,262,0.7317969883247315,0.7317969883247315
256,276,256,276,0.7375095696785146,0.7375095696785146
256,284,256,284,0.6350451092578177,0.6350451092578177
256,285,256,285,0.6208246764180031,0.6208246764180031
256,286,256,286,0.6100817130553021,0.6100817130553021
256,287,256,287,0.6191181485342485,0.6191181485342485
256,288,256,288,0.6880168773333851,0.6880168773333851
256,290,256,290,0.6168428126633987,0.6168428126633987
256,294,256,294,0.6927634974946137,0.6927634974946137
256,295,256,295,0.6902897975040087,0.6902897975040087
257,260,257,260,0.7243970733054709,0.7243970733054709
257,261,257,261,0.9860736977969548,0.9860736977969548
257,262,257,262,0.7665294187948138,0.7665294187948138
257,276,257,276,0.7746686913462674,0.7746686913462674
257,283,257,283,0.613064212628252,0.613064212628252
257,284,257,284,0.6743803318776835,0.6743803318776835
257,285,257,285,0.6593168419798539,0.6593168419798539
257,286,257,286,0.6496115130593733,0.6496115130593733
257,287,257,287,0.6591544665090322,0.6591544665090322
257,288,257,288,0.7266957200525187,0.7266957200525187
257,289,257,289,0.6104264510831263,0.6104264510831263
257,290,257,290,0.6591317454876798,0.6591317454876798
257,294,257,294,0.7277876948694031,0.7277876948694031
257,295,257,295,0.7242061974179651,0.7242061974179651
260,261,260,261,0.7307476285343099,0.7307476285343099
260,262,260,262,0.737457424743468,0.737457424743468
260,276,260,276,0.7489176093764979,0.7489176093764979
260,284,260,284,0.6404709963398157,0.6404709963398157
260,285,260,285,0.6213518841161454,0.6213518841161454
260,286,260,286,0.6121575377569428,0.6121575377569428
260,287,260,287,0.6261063471350993,0.6261063471350993
260,288,260,288,0.6943977008713251,0.6943977008713251
260,290,260,290,0.6243141176543446,0.6243141176543446
260,294,260,294,0.7016622878633043,0.7016622878633043
260,295,260,295,0.698252913168776,0.698252913168776
261,262,261,262,0.7690338577586353,0.7690338577586353
261,276,261,276,0.7815670013391804,0.7815670013391804
261,283,261,283,0.606972092207205,0.606972092207205
261,284,261,284,0.6757757243916876,0.6757757243916876
261,285,261,285,0.6567631046042526,0.6567631046042526
261,286,261,286,0.6481804200470629,0.6481804200470629
261,287,261,287,0.6617104070534056,0.6617104070534056
261,288,261,288,0.7296881876520267,0.7296881876520267
261,289,261,289,0.6036860636899215,0.6036860636899215
261,290,261,290,0.6620936870974437,0.6620936870974437
261,294,261,294,0.7328427646048871,0.7328427646048871
261,295,261,295,0.7289356684074503,0.7289356684074503
262,276,262,276,0.9756051701376317,0.9756051701376317
262,283,262,283,0.7572941890111357,0.7572941890111357
262,284,262,284,0.8087396494321175,0.8087396494321175
262,285,262,285,0.8102938416727002,0.8102938416727002
262,286,262,286,0.7868964716873936,0.7868964716873936
262,287,262,287,0.7785275600087648,0.7785275600087648
262,288,262,288,0.8769216940098772,0.8769216940098772
262,289,262,289,0.7357859231999179,0.7357859231999179
262,290,262,290,0.7647706475926132,0.7647706475926132
262,294,262,294,0.8925495384445157,0.8925495384445157
262,295,262,295,0.8885666708582856,0.8885666708582856
265,266,265,266,0.9979383093037804,0.9979383093037804
276,283,276,283,0.7494152058750304,0.7494152058750304
276,284,276,284,0.8484262543185443,0.8484262543185443
276,285,276,285,0.8154375047485072,0.8154375047485072
276,286,276,286,0.8078118285327572,0.8078118285327572
276,287,276,287,0.8340277391835372,0.8340277391835372
276,288,276,288,0.8921053961157126,0.8921053961157126
276,289,276,289,0.7349239394907762,0.7349239394907762
276,290,276,290,0.8200286215121573,0.8200286215121573
276,294,276,294,0.9127024050980189,0.9127024050980189
276,295,276,295,0.9083100323838035,0.9083100323838035
283,284,283,284,0.923266903398287,0.923266903398287
283,285,283,285,0.9541385790316057,0.9541385790316057
283,286,283,286,0.9799539589236484,0.9799539589236484
283,287,283,287,0.9404035958662625,0.9404035958662625
283,288,283,288,0.7004906519597727,0.7004906519597727
283,289,283,289,0.9139552171805371,0.9139552171805371
283,290,283,290,0.8480958658219504,0.8480958658219504
283,294,283,294,0.6913809587397147,0.6913809587397147
283,295,283,295,0.6886445193467343,0.6886445193467343
284,285,284,285,0.9847880412850079,0.9847880412850079
284,286,284,286,0.9528711831783824,0.9528711831783824
284,287,284,287,0.9599421962905939,0.9599421962905939
284,288,284,288,0.7775089566190424,0.7775089566190424
284,289,284,289,0.9139864949639824,0.9139864949639824
284,290,284,290,0.9416805793404189,0.9416805793404189
284,294,284,294,0.780363300394454,0.780363300394454
284,295,284,295,0.7766343875896431,0.7766343875896431
285,286,285,286,0.9596799938912149,0.9596799938912149
285,287,285,287,0.9360715317871707,0.9360715317871707
285,288,285,288,0.7552682773251791,0.7552682773251791
285,289,285,289,0.9331470702217846,0.9331470702217846
285,290,285,290,0.9138220416869925,0.9138220416869925
285,294,285,294,0.7522305868475967,0.7522305868475967
285,295,285,295,0.7488553793005481,0.7488553793005481
286,287,286,287,0.98449402844679,0.98449402844679
286,288,286,288,0.7458035976965058,0.7458035976965058
286,289,286,289,0.8909002733669829,0.8909002733669829
286,290,286,290,0.8985548404111942,0.8985548404111942
286,294,286,294,0.7430332853540201,0.7430332853540201
286,295,286,295,0.7396660782156455,0.7396660782156455
287,288,287,288,0.7617382306236654,0.7617382306236654
287,289,287,289,0.8639126676039706,0.8639126676039706
287,290,287,290,0.918822962262966,0.918822962262966
287,294,287,294,0.7649221097635841,0.7649221097635841
287,295,287,295,0.7612280282592924,0.7612280282592924
288,289,288,289,0.7980087431016407,0.7980087431016407
288,290,288,290,0.8564850093060159,0.8564850093060159
288,294,288,294,0.9096500192571391,0.9096500192571391
288,295,288,295,0.9055600490650234,0.9055600490650234
289,290,289,290,0.9261829270631413,0.9261829270631413
289,294,289,294,0.7124102043091843,0.7124102043091843
289,295,289,295,0.7096367410952126,0.7096367410952126
290,294,290,294,0.7892335049251555,0.7892335049251555
290,295,290,295,0.785335221752734,0.785335221752734
294,295,294,295,0.9947479998368395,0.9947479998368395
